date,action,tic,num_of_shares,price,total_num_shares,balance
2022-07-15,sell,ASIANPAINT.NS,0,2978.15,0,5753744.73
2022-07-15,sell,ULTRACEMCO.NS,0,5807.05,0,5753744.73
2022-07-15,sell,TITAN.NS,0,2189.7,0,5753744.73
2022-07-15,sell,TCS.NS,0,2994.6,0,5753744.73
2022-07-15,sell,TATAMOTORS.NS,0,440.2,0,5753744.73
2022-07-15,sell,SHREECEM.NS,0,19701.8,0,5753744.73
2022-07-15,sell,ONGC.NS,0,126.55,0,5753744.73
2022-07-15,sell,NESTLEIND.NS,0,18771.5,0,5753744.73
2022-07-15,sell,LUPIN.NS,0,640.85,0,5753744.73
2022-07-15,sell,KOTAKBANK.NS,0,1787.7,0,5753744.73
2022-07-15,sell,ITC.NS,0,293.55,0,5753744.73
2022-07-15,sell,IOC.NS,0,70.35,0,5753744.73
2022-07-15,sell,INFY.NS,0,1430.35,0,5753744.73
2022-07-15,sell,INDUSINDBK.NS,0,815.05,0,5753744.73
2022-07-15,sell,HINDUNILVR.NS,0,2568.5,0,5753744.73
2022-07-15,sell,JSWSTEEL.NS,0,576.4,0,5753744.73
2022-07-15,sell,HEROMOTOCO.NS,0,2800.05,0,5753744.73
2022-07-15,sell,HDFCBANK.NS,0,1362.05,0,5753744.73
2022-07-15,sell,HDFC.NS,0,2216.1,0,5753744.73
2022-07-15,sell,HCLTECH.NS,0,883.15,0,5753744.73
2022-07-15,sell,AXISBANK.NS,0,662.2,0,5753744.73
2022-07-15,sell,GRASIM.NS,0,1398.2,0,5753744.73
2022-07-15,sell,HINDALCO.NS,0,350.55,0,5753744.73
2022-07-15,sell,BAJFINANCE.NS,0,5915.2,0,5753744.73
2022-07-15,sell,DRREDDY.NS,0,4546.0,0,5753744.73
2022-07-15,buy,WIPRO.NS,5,393.85,166,5751773.51
2022-07-15,buy,SBIN.NS,5,479.1,157,5749375.62
2022-07-15,buy,UPL.NS,5,669.35,162,5746025.52
2022-07-15,buy,LT.NS,5,1684.85,170,5737592.85
2022-07-15,buy,EICHERMOT.NS,5,3034.0,166,5722407.68
2022-07-15,buy,M&M.NS,5,1172.5,169,5716539.31
2022-07-15,buy,MARUTI.NS,5,8778.05,172,5672605.17
2022-07-15,buy,NTPC.NS,5,149.75,165,5671855.68
2022-07-15,buy,POWERGRID.NS,5,209.3,168,5670808.13
2022-07-15,buy,RELIANCE.NS,5,2401.8,164,5658787.12
2022-07-15,buy,CIPLA.NS,5,966.05,174,5653952.04
2022-07-15,buy,BHARTIARTL.NS,5,651.8,159,5650689.78
2022-07-15,buy,TATASTEEL.NS,5,883.8,169,5646266.36
2022-07-15,buy,BAJAJ-AUTO.NS,5,3913.35,172,5626680.04
2022-07-15,buy,SUNPHARMA.NS,5,878.4,168,5622283.65
2022-07-15,buy,BAJAJFINSV.NS,5,11840.25,171,5563023.2
2022-07-15,buy,TECHM.NS,5,973.8,167,5558149.33
2022-07-15,buy,TATACONSUM.NS,5,790.55,174,5554192.63
2022-07-15,buy,ICICIBANK.NS,5,751.2,164,5550432.87
