,tic,time_period_in_months,model,total return,idle return
0,BAJAJ-AUTO.NS,1,a2c,414357.72,342564.3
1,BAJAJ-AUTO.NS,3,a2c,992905.02,956175.0
2,BAJAJ-AUTO.NS,6,a2c,1613828.0699999998,1591250.2
3,BAJAJ-AUTO.NS,12,a2c,1983453.9199999997,1955405.9
4,BAJAJ-AUTO.NS,18,a2c,1500024.27,1479130.5999999999
5,BAJAJ-AUTO.NS,24,a2c,1755680.77,1731003.5999999999
6,BAJAJFINSV.NS,1,a2c,787452.1699999999,701266.7
7,BAJAJFINSV.NS,3,a2c,1949099.44,1868790.5999999999
8,BAJAJFINSV.NS,6,a2c,4152986.76,3975812.0999999996
9,BAJAJFINSV.NS,12,a2c,5766082.86,5519077.2
10,BAJAJFINSV.NS,18,a2c,7467767.46,7147095.8
11,BAJAJFINSV.NS,24,a2c,7309463.16,6995644.5
12,BHARTIARTL.NS,1,a2c,73732.69,61588.350000000006
13,BHARTIARTL.NS,3,a2c,147065.86000000002,129808.8
14,BHARTIARTL.NS,6,a2c,244407.33000000002,207596.80000000002
15,BHARTIARTL.NS,12,a2c,250738.83000000002,212969.80000000002
16,BHARTIARTL.NS,18,a2c,318110.68,270142.5
17,BHARTIARTL.NS,24,a2c,341912.43,290341.0
18,CIPLA.NS,1,a2c,104349.42,82817.25
19,CIPLA.NS,3,a2c,266596.63,274446.0
20,CIPLA.NS,6,a2c,398145.48,432508.14999999997
21,CIPLA.NS,12,a2c,459081.48,498649.10000000003
22,CIPLA.NS,18,a2c,436353.48,473979.75
23,CIPLA.NS,24,a2c,493041.4799999999,535509.85
24,EICHERMOT.NS,1,a2c,336193.54,243536.65999999997
25,EICHERMOT.NS,3,a2c,808389.77,787063.0
26,EICHERMOT.NS,6,a2c,1232077.6700000002,1267347.95
27,EICHERMOT.NS,12,a2c,1367611.0200000003,1406653.6
28,EICHERMOT.NS,18,a2c,1246614.37,1282289.25
29,EICHERMOT.NS,24,a2c,1262081.62,1298187.0
30,ICICIBANK.NS,1,a2c,48165.43000000001,37801.200000000004
31,ICICIBANK.NS,3,a2c,122709.84,113184.85
32,ICICIBANK.NS,6,a2c,246359.72000000003,239766.1
33,ICICIBANK.NS,12,a2c,307458.32,299189.0
34,ICICIBANK.NS,18,a2c,346468.51999999996,337129.3
35,ICICIBANK.NS,24,a2c,359029.51999999996,349345.8
36,LT.NS,1,a2c,150617.55,100479.5
37,LT.NS,3,a2c,331022.55,284753.10000000003
38,LT.NS,6,a2c,650728.51,584098.2000000001
