,tic,share_price,model_name,action,no_of_shares_for_action,amount_for_action,balance_left,total_asset_value,return_ratio,total_no_of_shares
0,INFY.NS,766.18,sac,sell,0.0,0.0,1000000.0,1000000.0,1.0,0.0
1,TCS.NS,2132.84,sac,buy,80.0,170797.66,829202.34,999829.3729687501,1.0,80.0
2,INFY.NS,762.87,sac,sell,0.0,0.0,829202.34,996756.8573437501,1.0,0.0
3,TCS.NS,2094.43,sac,buy,97.0,203363.01,625839.34,996553.6801643068,1.0,177.0
4,INFY.NS,761.77,sac,sell,0.0,0.0,625839.34,989429.1801643068,0.99,0.0
5,TCS.NS,2054.18,sac,buy,97.0,199454.71,426384.63,989229.940091797,0.99,274.0
6,INFY.NS,764.21,sac,sell,0.0,0.0,426384.63,1000085.877591797,1.0,0.0
7,TCS.NS,2093.8,sac,buy,97.0,203301.73,223082.9,999882.8380454103,1.0,371.0
8,INFY.NS,749.23,sac,sell,0.0,0.0,223082.9,988155.9005454103,0.99,0.0
9,TCS.NS,2062.19,sac,buy,97.0,200232.6,22850.3,987955.864072754,0.99,468.0
10,INFY.NS,744.54,sac,sell,0.0,0.0,22850.3,979730.051572754,0.98,0.0
11,TCS.NS,2044.61,sac,buy,11.0,22513.25,337.05,979707.5472593997,0.98,479.0
12,INFY.NS,700.37,sac,sell,0.0,0.0,337.05,930704.1722593997,0.93,0.0
13,TCS.NS,1942.31,sac,buy,0.0,0.0,337.05,930704.1722593997,0.93,479.0
14,INFY.NS,709.32,sac,sell,0.0,0.0,337.05,931239.1097593997,0.93,0.0
15,TCS.NS,1943.43,sac,buy,0.0,0.0,337.05,931239.1097593997,0.93,479.0
16,INFY.NS,715.01,sac,sell,0.0,0.0,337.05,947472.6722593997,0.95,0.0
17,TCS.NS,1977.32,sac,buy,0.0,0.0,337.05,947472.6722593997,0.95,479.0
18,INFY.NS,726.26,sac,sell,0.0,0.0,337.05,969334.6097593997,0.97,0.0
19,TCS.NS,2022.96,sac,buy,0.0,0.0,337.05,969334.6097593997,0.97,479.0
20,INFY.NS,722.29,sac,sell,0.0,0.0,337.05,988801.3597593997,0.99,0.0
21,TCS.NS,2063.6,sac,buy,0.0,0.0,337.05,988801.3597593997,0.99,479.0
22,INFY.NS,707.31,sac,sell,0.0,0.0,337.05,984800.7347593997,0.98,0.0
23,TCS.NS,2055.25,sac,buy,0.0,0.0,337.05,984800.7347593997,0.98,479.0
24,INFY.NS,674.29,sac,sell,0.0,0.0,337.05,917772.9847593997,0.92,0.0
25,TCS.NS,1915.32,sac,buy,0.0,0.0,337.05,917772.9847593997,0.92,479.0
26,INFY.NS,656.63,sac,sell,0.0,0.0,337.05,909097.9222593997,0.91,0.0
27,TCS.NS,1897.2,sac,buy,0.0,0.0,337.05,909097.9222593997,0.91,479.0
28,INFY.NS,604.17,sac,sell,0.0,0.0,337.05,823580.4222593997,0.82,0.0
29,TCS.NS,1718.67,sac,buy,0.0,0.0,337.05,823580.4222593997,0.82,479.0
30,INFY.NS,614.85,sac,sell,0.0,0.0,337.05,840535.1097593997,0.84,0.0
31,TCS.NS,1754.07,sac,buy,0.0,0.0,337.05,840535.1097593997,0.84,479.0
32,INFY.NS,558.18,sac,sell,0.0,0.0,337.05,789415.1722593997,0.79,0.0
