,date,account_value
0,2020-07-01,12542187.46118164
1,2020-07-02,12560003.006683275
2,2020-07-06,12594804.014671672
3,2020-07-07,12604846.803879347
4,2020-07-08,12581190.278261956
5,2020-07-09,12593393.978736049
6,2020-07-10,12588498.534475468
7,2020-07-13,12600016.593008542
8,2020-07-14,12558004.57418265
9,2020-07-15,12552225.159237439
10,2020-07-16,12568434.79489701
11,2020-07-17,12599118.941857688
12,2020-07-20,12624048.842549734
13,2020-07-21,12646554.091920575
14,2020-07-22,12627323.032755805
15,2020-07-23,12666541.843149597
16,2020-07-24,12651200.239028117
17,2020-07-27,12641602.298565662
18,2020-07-28,12720823.299326198
19,2020-07-29,12706974.414056195
20,2020-07-30,12687230.33043593
21,2020-07-31,12683832.732383907
22,2020-08-03,12629439.409975993
23,2020-08-04,12703247.792402634
24,2020-08-05,12761572.281816585
25,2020-08-06,12778547.086328803
26,2020-08-07,12833755.7129581
27,2020-08-10,12835189.662470661
28,2020-08-11,12847517.181568865
29,2020-08-12,12861455.539071307
30,2020-08-13,12857163.102076678
31,2020-08-14,12770209.271681476
32,2020-08-17,12862414.458836816
33,2020-08-18,12912871.012242883
34,2020-08-19,12919147.403509745
35,2020-08-20,12894770.165202364
36,2020-08-21,12904572.298557583
37,2020-08-24,12950509.693787534
38,2020-08-25,12977226.756980015
39,2020-08-26,13001830.880756415
40,2020-08-27,13008550.260094639
41,2020-08-28,13024852.179952543
42,2020-08-31,12773028.635680769
43,2020-09-01,12860595.580400808
44,2020-09-02,12880003.532041583
45,2020-09-03,12950964.771642871
46,2020-09-04,12893290.789747195
47,2020-09-08,12854758.965356555
48,2020-09-09,12829960.586676402
49,2020-09-10,12908855.665902741
50,2020-09-11,12902135.28678058
51,2020-09-14,12884201.084620127
52,2020-09-15,12878121.7279829
53,2020-09-16,12944214.271060023
54,2020-09-17,12878713.660342135
55,2020-09-18,12857715.237622637
56,2020-09-21,12572852.44161632
57,2020-09-22,12476748.396931106
58,2020-09-23,12467178.715048363
59,2020-09-24,12202716.520767396
60,2020-09-25,12498048.31180076
61,2020-09-28,12695862.722609933
62,2020-09-29,12638300.618601222
63,2020-09-30,12627700.379798044
64,2020-10-01,12776286.677654032
65,2020-10-05,12734588.88665149
66,2020-10-06,12812549.495960265
67,2020-10-07,12898149.982777664
68,2020-10-08,12906547.305573761
69,2020-10-09,12912958.262998307
70,2020-10-12,12922178.721634056
71,2020-10-13,12879414.124083817
72,2020-10-14,12980982.056574812
73,2020-10-15,12749290.939004928
74,2020-10-16,12778135.50784999
75,2020-10-19,12718602.041002417
76,2020-10-20,12722171.62313144
77,2020-10-21,12709026.172713043
78,2020-10-22,12656382.661937056
79,2020-10-23,12832969.577294532
80,2020-10-26,12555859.51688468
81,2020-10-27,12655662.62903083
82,2020-10-28,12638371.604767447
83,2020-10-29,12566450.652101927
84,2020-10-30,12448906.713464385
85,2020-11-02,12350920.42417304
86,2020-11-03,12460905.329158697
87,2020-11-04,12563456.971851721
88,2020-11-05,12845120.986325866
89,2020-11-06,12933573.624424696
90,2020-11-09,13003462.110965574
91,2020-11-10,13177696.16854927
92,2020-11-11,13420622.619805068
93,2020-11-12,13448974.356140822
94,2020-11-13,13642890.671402663
95,2020-11-17,13843886.10403511
96,2020-11-18,14164789.71202156
97,2020-11-19,14058288.143128127
98,2020-11-20,14416550.254532546
99,2020-11-23,14590445.990273207
100,2020-11-24,14811814.236519545
101,2020-11-25,14558796.69625923
102,2020-11-27,14635720.372971267
103,2020-12-01,14765573.196610183
104,2020-12-02,14921378.659073561
105,2020-12-03,15341396.363297194
106,2020-12-04,15403324.750336379
107,2020-12-07,15441023.222275466
108,2020-12-08,15405809.76127693
109,2020-12-09,15417065.129715651
110,2020-12-10,15361917.27829811
111,2020-12-11,15351986.360390395
112,2020-12-14,15291946.42824623
113,2020-12-15,15519057.636711806
114,2020-12-16,15569934.824578017
115,2020-12-17,15516896.927002639
116,2020-12-18,15479960.503540725
117,2020-12-21,14952457.781174392
118,2020-12-22,15122045.112740248
119,2020-12-23,15278724.129929274
120,2020-12-24,15335317.689789504
121,2020-12-28,15413323.34179756
122,2020-12-29,15404967.211342543
123,2020-12-30,15533011.253609389
124,2020-12-31,15518445.007149428
125,2021-01-04,15738692.218033522
126,2021-01-05,15654414.417992324
127,2021-01-06,15584286.631447524
128,2021-01-07,15681716.231888503
