,date,account_value
0,2020-07-01,13001342.628555298
1,2020-07-02,13023502.877288623
2,2020-07-06,13072833.857532512
3,2020-07-07,13091530.965678113
4,2020-07-08,13041584.05928054
5,2020-07-09,13095590.031913225
6,2020-07-10,13043576.53347517
7,2020-07-13,13042996.388793217
8,2020-07-14,12979952.443864662
9,2020-07-15,12967904.950342324
10,2020-07-16,13002606.80676033
11,2020-07-17,13095973.8559339
12,2020-07-20,13153130.723625489
13,2020-07-21,13144279.665535396
14,2020-07-22,13069462.654167943
15,2020-07-23,13059326.915871281
16,2020-07-24,12979710.155775078
17,2020-07-27,12923979.271818664
18,2020-07-28,13150349.000679478
19,2020-07-29,13169631.889871184
20,2020-07-30,13081615.246494565
21,2020-07-31,13120999.471095776
22,2020-08-03,13055003.46403557
23,2020-08-04,13092570.909502834
24,2020-08-05,13219241.20584992
25,2020-08-06,13186354.52231732
26,2020-08-07,13251787.629152456
27,2020-08-10,13363979.606184088
28,2020-08-11,13214462.955233466
29,2020-08-12,13161232.64376206
30,2020-08-13,13143915.141373906
31,2020-08-14,13109607.141222883
32,2020-08-17,13229597.457043178
33,2020-08-18,13383726.511218457
34,2020-08-19,13395239.898500614
35,2020-08-20,13348106.843464505
36,2020-08-21,13444714.003051175
37,2020-08-24,13478317.685419675
38,2020-08-25,13434511.735596005
39,2020-08-26,13486452.185686886
40,2020-08-27,13436355.392819569
41,2020-08-28,13410964.805030003
42,2020-08-31,12865248.354285892
43,2020-09-01,13037259.26328571
44,2020-09-02,13060522.644774769
45,2020-09-03,13063741.398832416
46,2020-09-04,12842557.179137142
47,2020-09-08,12617681.143469417
48,2020-09-09,12586760.719289029
49,2020-09-10,12706900.799988361
50,2020-09-11,12702315.287741642
51,2020-09-14,12739122.849625835
52,2020-09-15,12863745.240067914
53,2020-09-16,13051151.657260373
54,2020-09-17,12924280.434188489
55,2020-09-18,12976553.834441014
56,2020-09-21,12584222.86204639
57,2020-09-22,12558081.263665134
58,2020-09-23,12495254.097908093
59,2020-09-24,12113744.714767314
60,2020-09-25,12504621.026266705
61,2020-09-28,12797078.011674969
62,2020-09-29,12826990.346545383
63,2020-09-30,12953572.549104199
64,2020-10-01,13187501.559568264
65,2020-10-05,13055292.583608722
66,2020-10-06,13196948.076293629
67,2020-10-07,13290002.491353635
68,2020-10-08,13359542.11368069
69,2020-10-09,13464945.001189206
70,2020-10-12,13425612.977688374
71,2020-10-13,13439566.85494936
72,2020-10-14,13533887.039671177
73,2020-10-15,13232263.581704685
74,2020-10-16,13441861.595930364
75,2020-10-19,13448671.636852665
76,2020-10-20,13480616.970043026
77,2020-10-21,13488157.348844929
78,2020-10-22,13439352.526945515
79,2020-10-23,13332115.491819782
80,2020-10-26,13185017.80232088
81,2020-10-27,13624343.917295856
82,2020-10-28,13402438.147932453
83,2020-10-29,13451486.90893404
84,2020-10-30,13364863.13827364
85,2020-11-02,13438969.57009737
86,2020-11-03,13593446.05233614
87,2020-11-04,13675623.565153522
88,2020-11-05,13933051.838224811
89,2020-11-06,13963746.39987032
90,2020-11-09,14185569.947843952
91,2020-11-10,14396062.518888874
92,2020-11-11,14656319.565962238
93,2020-11-12,14782468.439711018
94,2020-11-13,14916518.957121296
95,2020-11-17,15120519.1375107
96,2020-11-18,15292801.529844685
97,2020-11-19,15110023.30988924
98,2020-11-20,15444136.975401325
99,2020-11-23,15706217.43250887
100,2020-11-24,15743751.784132404
101,2020-11-25,15429304.166914387
102,2020-11-27,15692328.068510456
103,2020-12-01,15881790.536161823
104,2020-12-02,15858779.120085163
105,2020-12-03,16020369.065702839
106,2020-12-04,16090718.621946735
107,2020-12-07,16163563.696302814
108,2020-12-08,16117868.903364582
109,2020-12-09,16083114.585554523
110,2020-12-10,15874109.630278034
111,2020-12-11,15903072.261106892
112,2020-12-14,15896439.383390827
113,2020-12-15,16196206.089414997
114,2020-12-16,16232964.098249836
115,2020-12-17,16362988.498091144
