,date,account_value
0,2020-07-01,13001342.628555298
1,2020-07-02,13024981.161804125
2,2020-07-06,13077748.728569377
3,2020-07-07,13095662.86832969
4,2020-07-08,13036430.992060477
5,2020-07-09,13080867.93854106
6,2020-07-10,13033875.272158122
7,2020-07-13,13042647.92723035
8,2020-07-14,12968291.298335541
9,2020-07-15,12948777.518620785
10,2020-07-16,13017998.926769977
11,2020-07-17,13084159.228079814
12,2020-07-20,13124036.354213461
13,2020-07-21,13154151.536973514
14,2020-07-22,13066912.949854221
15,2020-07-23,13071906.848334303
16,2020-07-24,12999695.321519103
17,2020-07-27,12976822.29626924
18,2020-07-28,13174113.483277678
19,2020-07-29,13105813.32857531
20,2020-07-30,13041032.89811142
21,2020-07-31,13066183.908838425
22,2020-08-03,13007406.067139711
23,2020-08-04,13079810.495673677
24,2020-08-05,13199448.848151978
25,2020-08-06,13192533.16589638
26,2020-08-07,13290648.767413866
27,2020-08-10,13352770.623925844
28,2020-08-11,13212043.26705511
29,2020-08-12,13172445.526171992
30,2020-08-13,13151847.501457904
31,2020-08-14,13087823.83332541
32,2020-08-17,13211236.101660822
33,2020-08-18,13384818.93239889
34,2020-08-19,13381133.66967827
35,2020-08-20,13325968.515578417
36,2020-08-21,13463206.900802676
37,2020-08-24,13475978.947300883
38,2020-08-25,13398288.533759065
39,2020-08-26,13397601.876649858
40,2020-08-27,13357838.486865489
41,2020-08-28,13310547.423012415
42,2020-08-31,12858449.608821696
43,2020-09-01,13033403.26732857
44,2020-09-02,13024616.330059243
45,2020-09-03,13133353.473413888
46,2020-09-04,12966772.303596728
47,2020-09-08,12803518.845142206
48,2020-09-09,12825137.79250619
49,2020-09-10,12948947.409133539
50,2020-09-11,12918555.138028452
51,2020-09-14,12913406.754410982
52,2020-09-15,12975342.769542802
53,2020-09-16,13127751.471358888
54,2020-09-17,13026748.29118181
55,2020-09-18,13042755.756585032
56,2020-09-21,12611893.988602214
57,2020-09-22,12528793.277374208
58,2020-09-23,12524626.007336764
59,2020-09-24,12209364.679234048
60,2020-09-25,12619609.45454728
61,2020-09-28,12850527.017760599
62,2020-09-29,12890044.238922311
63,2020-09-30,13038946.915866366
64,2020-10-01,13196628.008829515
65,2020-10-05,13104003.746601962
66,2020-10-06,13190870.82039667
67,2020-10-07,13326776.43415571
68,2020-10-08,13415131.207825266
69,2020-10-09,13443303.780615306
70,2020-10-12,13408000.882232554
71,2020-10-13,13367172.145934809
72,2020-10-14,13435555.6356047
73,2020-10-15,13197916.444977565
74,2020-10-16,13309388.41119343
75,2020-10-19,13398461.24503631
76,2020-10-20,13443923.272115763
77,2020-10-21,13388442.260310747
78,2020-10-22,13301517.5522585
79,2020-10-23,13250222.496751085
80,2020-10-26,13194803.060779344
81,2020-10-27,13676409.80373572
82,2020-10-28,13515964.309425341
83,2020-10-29,13518973.588619318
84,2020-10-30,13494885.795990191
85,2020-11-02,13485074.259985361
86,2020-11-03,13551651.418451227
87,2020-11-04,13636261.352054376
88,2020-11-05,13874234.926214624
89,2020-11-06,13837318.14854938
90,2020-11-09,14013289.942775454
91,2020-11-10,14001875.185757067
