,date,account_value
0,2020-07-01,12542187.46118164
1,2020-07-02,12561488.97965996
2,2020-07-06,12597456.790932048
3,2020-07-07,12602479.98618147
4,2020-07-08,12577712.036320213
5,2020-07-09,12590231.490776058
6,2020-07-10,12586799.206636757
7,2020-07-13,12598871.595716553
8,2020-07-14,12557765.685145482
9,2020-07-15,12576424.45434789
10,2020-07-16,12612659.649699941
11,2020-07-17,12643329.051585339
12,2020-07-20,12668571.031744696
13,2020-07-21,12676876.121809471
14,2020-07-22,12644632.013068246
15,2020-07-23,12668850.862875873
16,2020-07-24,12637984.420393072
17,2020-07-27,12642610.76955285
18,2020-07-28,12780503.607010964
19,2020-07-29,12784734.763137406
20,2020-07-30,12786015.045446288
21,2020-07-31,12781969.166560028
22,2020-08-03,12695241.229862943
23,2020-08-04,12780493.316611411
24,2020-08-05,12817204.291523712
25,2020-08-06,12846486.606369294
26,2020-08-07,12884434.521514863
27,2020-08-10,12892523.701841518
28,2020-08-11,12890859.633373044
29,2020-08-12,12883431.404056335
30,2020-08-13,12889834.108631339
31,2020-08-14,12821806.435875336
32,2020-08-17,12922632.339898352
33,2020-08-18,13006235.73377996
34,2020-08-19,13001131.824330613
35,2020-08-20,12962584.521851975
36,2020-08-21,12994541.343853585
37,2020-08-24,13040952.67509298
38,2020-08-25,13032960.691381661
39,2020-08-26,13090034.372780511
40,2020-08-27,13075652.174510362
41,2020-08-28,13071520.407140786
42,2020-08-31,12779740.513485122
43,2020-09-01,12869869.888776032
44,2020-09-02,12860679.37215635
45,2020-09-03,12935515.991471155
46,2020-09-04,12850733.42994184
47,2020-09-08,12833959.957769869
48,2020-09-09,12817149.132389314
49,2020-09-10,12919131.392585313
50,2020-09-11,12958648.099155251
51,2020-09-14,12976894.365884988
52,2020-09-15,13009740.589483429
53,2020-09-16,13146119.495205246
54,2020-09-17,13134891.56838594
55,2020-09-18,13263686.232734123
56,2020-09-21,12910661.946101662
57,2020-09-22,12834713.453271957
58,2020-09-23,12803818.26071939
59,2020-09-24,12453040.300909309
60,2020-09-25,12806931.070408814
61,2020-09-28,13014694.951456398
62,2020-09-29,13017154.474309266
63,2020-09-30,13051130.433085471
64,2020-10-01,13211062.36676452
65,2020-10-05,13235281.515959296
66,2020-10-06,13341508.006956948
67,2020-10-07,13464234.200017013
68,2020-10-08,13613181.09087845
69,2020-10-09,13594308.958925674
70,2020-10-12,13632093.241142396
71,2020-10-13,13621212.371664787
72,2020-10-14,13698086.064094024
73,2020-10-15,13444655.45299771
74,2020-10-16,13529061.606125565
75,2020-10-19,13486151.149457123
76,2020-10-20,13503416.819600983
77,2020-10-21,13477147.03970568
78,2020-10-22,13396169.22706829
79,2020-10-23,13438647.592744416
80,2020-10-26,13172530.846980775
81,2020-10-27,13327281.966363754
82,2020-10-28,13210265.345252052
83,2020-10-29,13187609.647778
84,2020-10-30,13070649.191958046
85,2020-11-02,13019243.692400735
86,2020-11-03,13113390.938654426
87,2020-11-04,13241509.038485557
88,2020-11-05,13483207.280239578
89,2020-11-06,13563433.404486641
90,2020-11-09,13634507.892965415
91,2020-11-10,13690295.464428887
92,2020-11-11,13984744.416416831
93,2020-11-12,13990074.27749102
94,2020-11-13,14135683.261168968
95,2020-11-17,14181103.485623673
96,2020-11-18,14291715.02715802
97,2020-11-19,14209923.357571824
98,2020-11-20,14523993.484316932
99,2020-11-23,14779047.755445419
100,2020-11-24,14913736.273575325
101,2020-11-25,14670411.5810449
102,2020-11-27,14794202.149771737
103,2020-12-01,14928537.93636718
104,2020-12-02,15035668.260716118
105,2020-12-03,15194167.221975189
106,2020-12-04,15309957.112219512
107,2020-12-07,15389638.298882728
108,2020-12-08,15436357.606785363
109,2020-12-09,15494127.628934456
110,2020-12-10,15418098.296984337
111,2020-12-11,15427932.55359899
112,2020-12-14,15404881.338009216
113,2020-12-15,15535687.996211044
114,2020-12-16,15571281.408846145
115,2020-12-17,15587447.636250572
116,2020-12-18,15687089.592779396
117,2020-12-21,15198013.967273995
118,2020-12-22,15372431.672951661
119,2020-12-23,15544160.513143899
120,2020-12-24,15640203.843239967
121,2020-12-28,15723478.834391205
122,2020-12-29,15729299.620401474
123,2020-12-30,15821606.495698318
124,2020-12-31,15757259.855347976
125,2021-01-04,15926849.886704788
126,2021-01-05,15935173.883820876
127,2021-01-06,15894386.814530715
128,2021-01-07,15911619.985741958
129,2021-01-08,16285322.655221328
130,2021-01-11,16365512.8555616
131,2021-01-12,16348540.07304512
132,2021-01-13,16245896.224809036
133,2021-01-14,16233516.130677566
134,2021-01-15,16011473.428429946
135,2021-01-19,16180444.122079238
136,2021-01-20,16283915.326455459
137,2021-01-21,16325318.015366897
138,2021-01-22,16562529.434632644
139,2021-01-25,16626976.553277358
140,2021-01-27,16440723.799287185
141,2021-01-28,16303132.219567642
142,2021-01-29,15860234.365952834
143,2021-02-01,16517428.413583145
144,2021-02-02,16695978.140160903
145,2021-02-03,16858761.672616348
146,2021-02-04,16992140.83892189
147,2021-02-05,17117180.358422622
148,2021-02-08,17336781.231835708
149,2021-02-09,17242157.628556594
150,2021-02-10,17382799.080048904
151,2021-02-11,17461113.233369216
152,2021-02-12,17408291.53560005
153,2021-02-16,17455407.559617385
154,2021-02-17,17318084.419465408
155,2021-02-18,17233050.171128616
156,2021-02-19,17096974.16022621
157,2021-02-22,16773117.708283767
158,2021-02-23,16780691.709580764
159,2021-02-24,16956096.65683876
160,2021-02-25,17074117.057649
161,2021-02-26,16358700.57832466
162,2021-03-01,16626488.139649734
163,2021-03-02,16881731.934220657
164,2021-03-03,17231890.109025344
165,2021-03-04,17182259.685731277
166,2021-03-05,17050422.784913406
167,2021-03-08,16950912.88606392
168,2021-03-09,17037508.2454084
169,2021-03-10,17169047.88883339
170,2021-03-12,16925399.997239456
171,2021-03-15,16685693.546304092
172,2021-03-16,16713711.34647499
173,2021-03-17,16456677.57303749
174,2021-03-18,16294015.434357986
175,2021-03-19,16450219.46064888
176,2021-03-22,16535526.255700454
177,2021-03-23,16623747.962106094
178,2021-03-24,16372727.412354812
179,2021-03-25,16050993.112901077
180,2021-03-26,16360676.718346938
181,2021-03-30,16619001.6131147
182,2021-03-31,16648587.735802993
183,2021-04-01,16876436.54680763
184,2021-04-05,16571186.207703933
185,2021-04-06,16633455.685120925
186,2021-04-07,16774199.457604751
187,2021-04-08,16886785.823586807
188,2021-04-09,16901374.105012283
189,2021-04-12,16436761.259950027
190,2021-04-13,16684953.391923293
191,2021-04-15,16718879.05880104
192,2021-04-16,16896612.52261482
193,2021-04-19,16528541.953004226
194,2021-04-20,16672811.78284584
195,2021-04-22,16722466.165688857
196,2021-04-23,16655575.323449478
197,2021-04-26,16848876.461747512
198,2021-04-27,16993619.807465896
199,2021-04-28,17286815.521279678
200,2021-04-29,17552177.006684646
