date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-01,-5,-5,5,5,-5,5,5,-5,5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,5,-5,5,5,-5,5,-5,5,5,5,-5,5,5,-5,5,-5,5,-5,-5,5,5,17815.54550163448
2020-07-02,-5,-5,5,5,-5,5,5,-5,5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,5,-5,5,5,-5,5,-5,5,5,5,-5,5,5,-5,5,-5,5,-5,-5,5,5,34801.00798839703
2020-07-06,-4,-3,5,5,-5,5,5,-5,5,-5,-5,-5,-2,0,-5,-5,5,-5,0,-5,-5,-5,-5,5,-5,5,5,-5,5,-5,5,5,5,-5,5,5,-5,5,-5,5,-5,-5,5,5,10042.789207674563
2020-07-07,0,0,5,5,-3,5,5,-5,5,-5,-5,-5,0,0,-5,-5,5,-5,0,-5,-1,-5,-5,5,-5,5,5,-5,5,-5,5,5,5,-5,5,5,-5,5,-5,5,-5,-5,5,5,-23656.52561739087
2020-07-08,0,0,5,5,0,5,5,-5,5,-5,-5,-5,0,0,-5,-5,5,-2,0,-5,0,-5,-5,5,-5,5,5,-5,5,-5,5,5,5,-3,5,5,-5,5,-4,5,-5,-5,5,5,12203.700474092737
2020-07-09,0,0,5,5,0,5,5,-5,5,-5,-5,-5,0,0,-5,-5,5,0,0,-5,0,-5,-5,5,0,5,5,-3,5,-5,5,5,5,0,5,5,-5,5,0,5,-5,-5,5,5,-4895.444260580465
2020-07-10,0,0,5,5,0,5,5,-5,5,-5,-4,-5,0,0,-5,-5,5,0,0,-5,0,-5,-4,5,0,5,5,0,5,-5,5,5,5,0,5,5,-5,5,0,5,-5,0,5,5,11518.058533074334
2020-07-13,0,0,5,5,0,5,5,-1,5,-5,0,-4,0,0,-5,-5,5,0,0,-5,0,-1,0,5,0,5,5,0,5,-5,5,5,5,0,5,5,-5,5,0,5,-5,0,5,5,-42012.01882589236
2020-07-14,0,0,5,5,0,5,5,0,5,-5,0,0,0,0,-5,-5,5,0,0,0,0,0,0,5,0,5,5,0,5,-5,5,5,5,0,5,5,-5,5,0,5,-2,0,5,5,-5779.4149452112615
2020-07-15,0,0,5,5,0,5,5,0,5,-1,0,0,0,0,-5,-5,5,0,0,0,0,0,0,5,0,5,5,0,5,-5,5,5,5,0,5,5,-5,5,0,5,0,0,5,5,16209.635659571737
2020-07-16,0,0,5,5,0,5,5,0,5,0,0,0,0,0,-5,-5,5,0,0,0,0,0,0,5,0,5,5,0,5,-5,5,5,5,0,5,5,-5,5,0,5,0,0,5,5,30684.14696067758
2020-07-17,0,0,5,5,0,5,5,0,5,0,0,0,0,0,-1,-1,5,0,0,0,0,0,0,5,0,5,5,0,5,-3,5,5,5,0,5,5,-4,5,0,5,0,0,5,5,24929.90069204569
2020-07-20,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,22505.24937084131
2020-07-21,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,-19231.059164769948
2020-07-22,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,39218.810393791646
2020-07-23,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,-15341.604121480137
2020-07-24,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,-9597.940462455153
2020-07-27,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,79221.00076053664
2020-07-28,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,-13848.88527000323
2020-07-29,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0,5,5,5,0,5,5,0,5,0,5,0,0,5,5,-19744.083620265126
