date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-01,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,-5,5,-5,5,5,-5,5,-5,-5,5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,16833.667831346393
2020-07-02,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,-5,5,-5,5,5,-5,5,-5,-5,5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,37984.51888317242
2020-07-06,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,0,5,-5,5,5,0,5,-5,-5,5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,17979.118491364643
2020-07-07,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,0,5,-5,5,5,0,5,-1,-5,5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,-5,-5,5,-5,5,5,-5,5,-34081.60736412555
2020-07-08,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,0,5,-5,5,5,0,5,0,-5,5,-5,5,5,-3,5,-5,5,-5,5,5,-3,-5,5,-5,-5,5,-5,5,5,-5,5,22813.561487797648
2020-07-09,5,5,5,5,5,5,-5,-5,5,5,-5,-5,5,0,5,-5,5,5,0,5,0,-5,5,-5,5,5,0,5,-5,5,-5,5,5,0,-5,5,-5,-5,5,-5,5,5,-5,5,-6084.167688680813
2020-07-10,5,5,5,5,5,5,-5,-5,5,5,-4,-5,5,0,5,-5,5,5,0,5,0,-5,5,-5,5,5,0,5,-5,5,-5,5,5,0,-5,5,-5,-5,5,-5,5,5,-5,5,9138.101557213813
2020-07-13,5,5,5,5,5,5,0,-1,5,5,0,-4,5,0,5,-5,5,5,0,5,0,-1,5,-5,5,5,0,5,-1,5,-5,5,5,0,-5,5,-5,-5,5,-5,5,5,-5,5,-44714.59847881645
2020-07-14,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,-5,5,5,0,5,0,0,5,-5,5,5,0,5,0,5,-5,5,5,0,-3,5,-5,-1,5,-5,5,5,-5,5,-8348.753724506125
2020-07-15,5,5,5,5,5,5,0,0,5,5,0,0,5,0,5,-5,5,5,0,5,0,0,5,-5,5,5,0,5,0,5,-4,5,5,0,0,5,-5,0,5,-5,5,5,-5,5,64221.56814577803
