date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-01,-5,5,5,5,5,5,-5,5,5,-5,-5,5,-5,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,-5,-5,5,-5,-5,-4,-5,5,5,-5,5,5,-5,5,5,5,-5,5,22160.24873332493
2020-07-02,-5,5,5,5,5,5,-5,5,5,-5,-5,5,-5,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,-5,-5,5,-5,-5,-4,-5,5,5,-5,5,5,-5,5,5,5,-5,5,49330.980243889615
2020-07-06,-4,5,5,5,5,5,-5,5,5,-5,-5,5,-5,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,-5,-5,5,-5,-5,-4,-5,5,5,-5,5,5,-5,5,5,5,-5,5,18697.108145600185
2020-07-07,0,5,5,5,5,5,-5,5,5,-5,-5,5,-5,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,-5,5,-5,-5,-4,-5,5,5,-5,5,5,-2,5,5,5,-5,5,-49946.90639757179
2020-07-08,0,5,5,5,5,5,-5,5,5,0,-5,5,-5,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,-1,5,-5,-5,-4,-5,5,5,-5,5,5,0,5,5,5,-5,5,54005.97263268381
2020-07-09,0,5,5,5,5,5,-5,5,5,0,-5,5,0,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,0,5,-5,-5,-2,-5,5,5,-5,5,5,0,5,5,5,-5,5,-52013.498438054696
2020-07-10,0,5,5,5,5,5,-5,5,5,0,-4,5,0,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,0,5,-5,-5,0,-5,5,5,-5,5,5,0,5,5,5,-5,5,-580.1446819528937
2020-07-13,0,5,5,5,5,5,-5,5,5,0,0,5,0,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,0,5,-5,0,0,-5,5,5,-5,5,5,0,5,5,5,-5,5,-63043.94492855482
2020-07-14,0,5,5,5,5,5,-5,5,5,0,0,5,0,5,-5,0,5,5,5,5,-5,-5,5,5,5,-5,0,0,5,-5,0,0,-5,5,5,-5,5,5,0,5,5,5,-1,5,-12047.49352233857
2020-07-15,0,5,5,5,5,5,-5,5,5,0,0,5,0,5,-5,0,5,5,5,5,-5,-4,5,5,5,-4,0,0,5,-5,0,0,0,5,5,-5,5,5,0,5,5,5,0,5,34701.85641800612
2020-07-16,0,5,5,5,5,5,-5,5,5,0,0,5,0,5,0,0,5,5,5,5,-5,0,5,5,5,0,0,0,5,-4,0,0,0,5,5,-4,5,5,0,5,5,5,0,5,93367.04917357117
2020-07-17,0,5,5,5,5,5,-4,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,57156.86769158766
2020-07-20,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-8851.058090092614
2020-07-21,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-74817.01136745326
2020-07-22,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-10135.738296661526
2020-07-23,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-79616.76009620354
2020-07-24,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-55730.883956413716
2020-07-27,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,226369.72886081412
2020-07-28,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,19282.889191705734
2020-07-29,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-88016.64337661862
2020-07-30,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,39384.224601211026
2020-07-31,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-65996.00706020556
2020-08-03,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,37567.44546726346
2020-08-04,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,126670.29634708539
2020-08-05,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-32886.68353259936
2020-08-06,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,65433.10683513619
2020-08-07,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,112191.9770316314
2020-08-10,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-149516.6509506218
2020-08-11,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-53230.31147140637
2020-08-12,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,3,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-17317.502388153225
2020-08-13,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,3,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,-34308.00015102327
2020-08-14,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,4,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,119990.31582029536
2020-08-17,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,4,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,5,0,5,154129.05417527817
2020-08-18,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,5,5,5,5,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,4,0,5,5,0,5,5,5,0,5,11513.387282157317
2020-08-19,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,5,5,5,5,5,0,0,5,5,5,0,0,0,4,0,0,0,0,5,-4,0,5,5,0,5,5,5,0,5,-47133.05503610894
2020-08-20,0,5,5,5,5,5,0,5,5,0,0,5,0,5,0,5,5,5,5,5,0,0,5,5,5,0,0,0,4,0,0,0,0,5,-5,0,5,5,0,5,5,5,0,5,96607.15958666988
2020-08-21,0,0,0,0,4,5,0,5,5,0,0,5,0,-5,0,5,5,5,0,5,0,0,5,5,5,0,0,0,5,0,0,0,0,4,-5,0,3,0,0,0,0,0,0,5,33603.68236850016
2020-08-24,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-43805.94982367009
2020-08-25,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,51940.45009088144
2020-08-26,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-50096.792867317796
2020-08-27,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-25390.587789565325
2020-08-28,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-545716.4507441111
2020-08-31,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,172010.90899981745
2020-09-01,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,23263.381489058957
2020-09-02,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,3218.7540576476604
2020-09-03,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-221184.2196952738
2020-09-04,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-224876.0356677249
2020-09-08,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-30920.42418038845
2020-09-09,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,120140.08069933206
2020-09-10,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-4585.51224671863
2020-09-11,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,36807.56188419275
2020-09-14,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,124622.39044207893
2020-09-15,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,187406.4171924591
2020-09-16,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-126871.22307188436
2020-09-17,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,52273.40025252476
2020-09-18,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-392330.97239462286
2020-09-21,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-26141.598381256685
2020-09-22,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-62827.165757041425
2020-09-23,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-381509.38314077817
2020-09-24,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,390876.31149939075
2020-09-25,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,292456.9854082633
2020-09-28,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,29912.33487041481
2020-09-29,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,126582.20255881548
2020-09-30,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,233929.01046406478
2020-10-01,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-132208.97595954128
2020-10-05,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,141655.49268490635
2020-10-06,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,93054.41506000608
2020-10-07,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,69539.62232705578
2020-10-08,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,105402.88750851527
2020-10-09,0,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,5,-39332.0235008318
