date,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,return_val
2020-07-01,5,-5,-5,5,-5,-5,5,5,5,-5,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,5,-5,5,-5,5,5,-5,5,-5,5,5,-5,-5,23638.53324882686
2020-07-02,5,-5,-5,5,-5,-5,5,5,5,-5,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-5,5,-5,5,5,-5,-5,5,5,-5,5,-5,5,5,-5,5,-5,5,5,-5,-5,52767.5667652525
2020-07-06,5,-5,-5,5,-5,-5,5,5,5,-5,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-5,4,-5,5,5,-5,-5,5,5,-5,5,-5,5,5,-5,5,-5,5,5,-4,-5,17914.139760313556
2020-07-07,5,-5,-5,5,-5,-5,5,5,5,-5,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-4,-5,-5,5,5,-5,-5,5,5,-5,5,-5,5,5,-5,5,-5,5,5,-4,-5,-59231.876269213855
2020-07-08,5,-5,-5,5,-5,-5,5,5,5,0,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,4,-5,-5,5,5,-5,-5,5,5,-5,5,-3,5,5,-5,5,-5,5,5,-4,-5,44436.9464805834
2020-07-09,5,-5,-5,5,-5,-4,5,5,5,0,-5,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-4,-5,-5,5,5,-5,-5,5,5,-5,5,0,5,5,-5,5,-5,5,5,4,-5,-46992.66638293862
2020-07-10,5,-5,-5,5,-5,0,5,5,5,0,-4,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-4,-5,-5,5,5,-5,-5,5,5,-5,5,0,5,5,5,5,-5,5,5,1,-5,8772.655072228983
2020-07-13,5,-1,-4,5,-5,0,5,5,5,0,0,5,5,5,5,-5,-5,-5,-5,5,5,-5,5,-4,-5,-5,5,5,0,-5,5,5,-5,5,0,5,5,5,5,-4,5,5,5,-5,-74356.62889480963
2020-07-14,5,0,5,5,-5,0,5,5,5,0,0,5,5,5,5,-5,-5,-5,-2,5,5,-5,5,0,-5,-5,5,5,0,-5,5,5,-5,5,0,5,5,5,5,5,5,5,-4,-5,-19513.779714755714
2020-07-15,5,0,5,5,-3,0,5,5,5,0,0,5,5,5,5,-5,-5,-5,0,5,5,-4,5,4,-5,-4,5,5,0,-5,4,5,0,5,0,5,5,5,5,5,5,5,-5,-5,69221.40814919211
2020-07-16,5,0,5,5,0,0,5,5,5,0,0,5,5,5,5,-5,0,0,0,5,5,0,5,5,-5,0,5,5,0,-4,-5,5,0,5,5,5,5,5,5,5,5,5,-5,-5,66160.30130983703
2020-07-17,5,0,5,5,0,0,5,5,5,4,0,5,5,5,5,-5,0,0,4,5,5,0,5,5,-5,0,5,5,0,0,-5,-4,0,5,5,5,5,5,5,5,5,5,-5,-5,39877.126133646816
2020-07-20,5,0,5,5,0,0,-5,5,5,5,0,5,-5,5,5,5,0,0,-4,5,5,4,-4,5,-4,4,5,5,0,0,-5,-5,0,5,-5,5,5,5,-4,5,5,-2,-4,-2,30115.182760052383
2020-07-21,4,0,5,5,0,0,-4,5,4,5,4,5,-5,5,5,4,0,5,0,5,-3,-4,4,-5,-4,4,4,5,0,0,-4,-4,0,4,-5,5,5,5,-5,4,4,4,5,0,-87238.58711929247
2020-07-22,4,4,4,4,0,0,5,4,3,4,3,4,-4,5,4,-5,0,-2,0,3,-1,0,4,-4,3,4,5,5,0,0,-4,4,4,4,0,4,5,-4,-1,4,4,5,5,4,4993.898480081931
2020-07-23,4,4,4,4,0,0,5,4,4,4,-2,4,-4,5,4,-4,0,-3,0,1,1,0,4,-3,4,4,5,5,0,0,-4,4,4,4,0,4,5,-4,0,4,4,5,5,4,-72211.52681520022
2020-07-24,4,4,4,4,0,0,5,4,4,4,-2,4,-4,5,4,0,0,0,0,1,0,0,4,-3,4,4,5,5,0,0,-4,4,4,4,0,4,5,-4,0,4,4,5,5,4,-22873.025249863043
2020-07-27,4,4,4,4,0,0,5,4,4,4,-2,4,-4,5,4,0,0,0,0,1,0,0,4,-2,4,4,5,5,0,0,-4,4,4,4,0,4,5,-4,0,4,4,5,5,4,197291.18700843863
2020-07-28,4,4,4,4,0,0,5,4,4,4,-1,4,-4,5,4,0,0,0,0,1,0,0,4,-2,3,4,5,4,0,0,-4,4,4,4,0,4,4,-3,0,4,4,5,4,4,-68300.15470236912
2020-07-29,4,4,4,4,0,0,5,4,4,4,0,4,-4,4,4,0,0,0,0,1,0,0,4,0,3,4,5,4,0,0,-4,4,4,4,0,4,4,-3,0,4,4,5,4,4,-64780.430463889614
2020-07-30,4,4,4,4,0,0,4,4,4,4,0,4,-4,4,4,0,0,0,0,1,0,0,4,0,3,4,4,4,0,0,-4,4,4,4,0,4,4,-2,0,4,4,5,4,4,25151.01072700508
2020-07-31,4,4,4,4,0,0,4,4,4,4,0,4,-4,4,4,0,0,0,0,1,-1,0,4,0,3,4,4,4,0,0,-4,4,4,3,0,4,4,-1,0,4,4,5,4,4,-58777.8416987136
2020-08-03,4,4,4,4,0,0,4,4,4,4,0,4,-4,4,4,0,0,0,0,0,-1,0,4,0,2,4,4,4,0,0,-4,4,4,3,0,4,4,-1,0,4,4,4,4,4,72404.42853396572
2020-08-04,3,4,4,4,0,0,4,4,4,4,0,4,-4,4,4,0,0,0,0,0,-1,0,4,0,2,4,4,4,0,0,-4,4,4,3,0,4,4,0,0,4,4,4,4,4,119638.35247830115
2020-08-05,3,4,4,4,0,0,4,4,4,4,0,4,-4,4,3,0,0,0,0,0,-1,0,4,0,2,3,4,4,0,0,-4,4,4,3,0,4,4,0,0,4,4,4,4,4,-6915.682255597785
2020-08-06,2,4,4,4,0,0,4,4,4,4,0,4,-4,4,3,0,0,0,0,0,-1,0,4,0,2,3,4,4,0,0,-4,4,4,3,0,4,4,1,0,4,4,4,4,4,98115.60151748545
2020-08-07,1,4,4,4,0,0,4,4,4,4,0,4,-4,4,2,0,0,0,0,0,-1,0,4,0,2,3,4,4,0,0,-4,4,4,3,0,4,4,1,0,4,4,4,4,4,62121.85651197843
2020-08-10,0,4,4,4,0,0,4,3,4,3,0,4,-4,4,2,0,0,0,0,-1,-1,0,4,0,2,3,4,4,0,0,-4,4,3,3,0,4,4,2,-1,4,4,4,4,4,-140727.35687073506
2020-08-11,-1,3,2,4,0,0,4,1,3,3,0,4,-4,4,1,0,0,0,0,-2,-1,0,4,0,2,3,4,4,0,0,-4,4,2,4,0,4,4,3,-1,4,4,4,4,4,-39597.74088311754
2020-08-12,-2,3,1,4,0,0,4,0,3,2,0,4,-3,4,1,0,0,0,0,-2,-1,0,4,0,1,3,4,4,0,0,-4,4,1,4,0,4,3,3,-1,4,4,4,4,4,-20598.024714088067
2020-08-13,-1,3,2,4,0,0,4,-1,4,2,1,4,-2,3,1,0,0,0,0,0,0,0,3,0,1,2,4,4,0,0,-1,4,0,4,0,3,3,2,0,3,3,4,4,3,-64023.66813249327
2020-08-14,-2,0,0,4,1,0,0,4,0,-3,4,4,0,4,-4,0,0,0,4,-4,-4,0,1,0,0,-2,0,4,0,0,0,0,-4,1,4,-2,-3,-1,3,3,-3,0,1,0,123412.26833541133
2020-08-17,-1,-4,-4,0,4,0,0,0,0,-4,3,0,-4,-4,-4,0,0,0,0,1,-3,0,0,0,0,-4,0,0,0,0,3,-2,-4,2,0,-4,-4,0,0,0,-4,-2,-4,4,173582.83073806763
2020-08-18,-2,-4,-4,0,4,0,0,4,0,-4,4,0,-4,-3,-4,0,0,0,4,2,-4,4,0,4,4,-4,0,0,0,1,4,-1,-4,0,4,-4,-4,0,0,1,-3,-1,-3,4,-3685.262720618397
2020-08-19,-2,-4,-4,0,4,0,0,4,0,-4,4,0,-2,-4,-4,0,1,0,4,1,-4,4,0,4,4,-4,0,0,0,0,4,-1,-4,0,4,-4,-4,0,0,2,-3,-1,-3,4,-55165.15409985371
2020-08-20,-2,-4,-4,0,4,0,0,4,0,-4,4,0,0,-4,-4,0,1,0,4,0,-3,4,0,4,4,-4,1,0,0,0,4,-2,-4,0,4,-4,-4,0,0,0,-4,-2,-4,4,137238.38522425853
2020-08-21,-1,-3,-4,0,4,0,0,4,0,-4,4,0,0,-3,-4,0,0,0,4,1,-4,0,0,4,2,-4,0,0,0,0,4,-1,-4,0,0,-4,-4,0,0,0,-3,-1,-3,4,12772.046498207375
2020-08-24,-2,-4,-4,0,4,0,0,4,0,-4,4,0,0,-4,-4,0,1,0,4,1,-3,4,0,4,4,-4,1,0,0,1,4,-2,-4,0,4,-4,-4,0,0,0,-4,-2,-4,4,-77690.41354181804
